course_code,course_name,rank,similarity,job_id,job_title,job_company,job_source
BBK2LAB3,Penambangan Data,8,0.8048,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK2LAB3,Penambangan Data,9,0.8046,li_4432488212,Machine Learning Engineer,Harrison Clarke,linkedin
BBK2LAB3,Penambangan Data,10,0.8037,li_4346417366,Machine Learning Engineer,Happy Elements,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,1,0.8089,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,2,0.8086,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,3,0.8055,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,4,0.8053,li_4372153003,Applied ML Engineer,Kognitos,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,5,0.805,li_4286968047,Software Engineer - All Levels,GlossGenius,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,6,0.8045,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,7,0.8038,li_4286961888,Software Engineer - All Levels,GlossGenius,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,8,0.801,li_4385647711,"Software Engineer, Developer Experience (AI)",Clay,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,9,0.7998,li_4388372783,"AI/ML Engineer, Software Development - Noke",Janus International,linkedin
BBK2NAB3,Rekayasa Proses Bisnis,10,0.799,gd_1010109391172,AI Tutor - Tagalog,x.ai,glassdoor
BBK3AAB3,Arsitektur Enterprise,1,0.811,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK3AAB3,Arsitektur Enterprise,2,0.805,li_4363726700,Software Engineer,Oso,linkedin
BBK3AAB3,Arsitektur Enterprise,3,0.8046,li_4372153003,Applied ML Engineer,Kognitos,linkedin
BBK3AAB3,Arsitektur Enterprise,4,0.8041,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK3AAB3,Arsitektur Enterprise,5,0.8035,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK3AAB3,Arsitektur Enterprise,6,0.8013,gd_1009846201389,AI Researcher,"AGI, Inc.",glassdoor
BBK3AAB3,Arsitektur Enterprise,7,0.8009,li_4318503546,Product Designer,"AGI, Inc.",linkedin
BBK3AAB3,Arsitektur Enterprise,8,0.8006,li_4318518203,Applied AI Engineer,Zania,linkedin
BBK3AAB3,Arsitektur Enterprise,9,0.8002,li_4388372783,"AI/ML Engineer, Software Development - Noke",Janus International,linkedin
BBK3AAB3,Arsitektur Enterprise,10,0.8,gd_1010155381106,Healthcare & Social Assistance Specialist - Freelance AI Trainer Project,Ameridial,glassdoor
BBK3BAB3,Data Warehouse dan Business Intelligence,1,0.8183,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,2,0.8125,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,3,0.8097,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,4,0.8075,li_4427112925,Data Analyst,Beyond Feedback,linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,5,0.8061,li_4385755079,Data Analyst,"Alterman, Inc.",linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,6,0.8057,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
